Future.ID,Strategy.ID,Strategy,Fuel,Technology,Emission,Season,Year,SpecifiedAnnualDemand,CapacityFactor,OperationalLife,ResidualCapacity,InputActivityRatio,OutputActivityRatio,EmissionActivityRatio,CapitalCost,VariableCost,FixedCost,TotalAnnualMaxCapacity,TotalAnnualMinCapacity,TotalAnnualMaxCapacityInvestment,TotalAnnualMinCapacityInvestment,TotalTechnologyAnnualActivityUpperLimit,TotalTechnologyAnnualActivityLowerLimit
0,2,DDP70,E5_TSWTSW,,,,2010,4.067245876784108,,,,,,,,,,,,,,,
0,2,DDP70,E5_TSWTSW,,,,2011,4.139230152028,,,,,,,,,,,,,,,
0,2,DDP70,E5_TSWTSW,,,,2012,4.19138975734656,,,,,,,,,,,,,,,
0,2,DDP70,E5_TSWTSW,,,,2013,4.70012985332124,,,,,,,,,,,,,,,
0,2,DDP70,E5_TSWTSW,,,,2014,5.234229872596386,,,,,,,,,,,,,,,
0,2,DDP70,E5_TSWTSW,,,,2015,4.846091590620752,,,,,,,,,,,,,,,
0,2,DDP70,E5_TSWTSW,,,,2016,4.55265952622247,,,,,,,,,,,,,,,
0,2,DDP70,E5_TSWTSW,,,,2017,4.46844237972157,,,,,,,,,,,,,,,
0,2,DDP70,E5_TSWTSW,,,,2018,4.671981187899999,,,,,,,,,,,,,,,
0,2,DDP70,E5_TSWTSW,,,,2019,4.563330462600001,,,,,,,,,,,,,,,
0,2,DDP70,E5_TSWTSW,,,,2020,4.50900509995,,,,,,,,,,,,,,,
0,2,DDP70,E5_TSWTSW,,,,2021,4.237378286699999,,,,,,,,,,,,,,,
0,2,DDP70,E5_TSWTSW,,,,2022,4.220956384765915,,,,,,,,,,,,,,,
0,2,DDP70,E5_TSWTSW,,,,2023,4.313309501270915,,,,,,,,,,,,,,,
0,2,DDP70,E5_TSWTSW,,,,2024,4.40035437465,,,,,,,,,,,,,,,
0,2,DDP70,E5_TSWTSW,,,,2025,5.406054489048521,,,,,,,,,,,,,,,
0,2,DDP70,E5_TSWTSW,,,,2026,5.589152489645897,,,,,,,,,,,,,,,
0,2,DDP70,E5_TSWTSW,,,,2027,5.564430593086168,,,,,,,,,,,,,,,
0,2,DDP70,E5_TSWTSW,,,,2028,5.538947970384564,,,,,,,,,,,,,,,
0,2,DDP70,E5_TSWTSW,,,,2029,5.512458041797184,,,,,,,,,,,,,,,
0,2,DDP70,E5_TSWTSW,,,,2030,5.4848179047742605,,,,,,,,,,,,,,,
0,2,DDP70,E5_TSWTSW,,,,2031,5.500172142819057,,,,,,,,,,,,,,,
0,2,DDP70,E5_TSWTSW,,,,2032,5.514881176921778,,,,,,,,,,,,,,,
0,2,DDP70,E5_TSWTSW,,,,2033,5.528833675579907,,,,,,,,,,,,,,,
0,2,DDP70,E5_TSWTSW,,,,2034,5.541944824181867,,,,,,,,,,,,,,,
0,2,DDP70,E5_TSWTSW,,,,2035,5.554148907945685,,,,,,,,,,,,,,,
0,2,DDP70,E5_TSWTSW,,,,2036,5.5653566905068494,,,,,,,,,,,,,,,
0,2,DDP70,E5_TSWTSW,,,,2037,5.57549068804979,,,,,,,,,,,,,,,
0,2,DDP70,E5_TSWTSW,,,,2038,5.584442016724275,,,,,,,,,,,,,,,
